,uid,tic,passed,buffer_size,use_contextlib
0,0,1712730816.9112902,0.2335646152496338,3,True
1,1,1712730817.0196655,0.12518930435180664,3,True
2,2,1712730817.0884278,0.056427001953125,3,True
3,3,1712730817.1488705,0.26348280906677246,6,True
4,4,1712730817.196658,0.21569538116455078,6,True
5,5,1712730817.2121413,0.2002120018005371,6,True
6,6,1712730817.276996,0.13936901092529297,6,True
7,7,1712730817.3133235,0.10304141044616699,6,True
8,8,1712730817.3461266,0.07023835182189941,6,True
9,9,1712730817.416365,0.21711039543151855,3,True
10,10,1712730817.5000181,0.1344606876373291,3,True
11,11,1712730817.5791302,0.05534863471984863,3,True
12,12,1712730817.6358101,0.41774845123291016,6,True
13,13,1712730817.688982,0.36557722091674805,6,True
14,14,1712730817.7803378,0.27531909942626953,6,True
15,15,1712730817.8730242,0.1826326847076416,6,True
16,16,1712730817.9171834,0.1416153907775879,6,True
17,17,1712730818.016491,0.04230785369873047,6,True
18,18,1712730818.0598,0.26650500297546387,3,True
19,19,1712730818.1618645,0.1654374599456787,3,True
20,20,1712730818.2269104,0.10138988494873047,3,True
21,21,1712730818.3292992,0.15288782119750977,3,True
22,22,1712730818.3314676,0.15071940422058105,3,True
23,23,1712730818.418389,0.06815314292907715,3,True
24,24,1712730818.4877672,0.15629124641418457,3,True
25,25,1712730818.5246458,0.11941266059875488,3,True
26,26,1712730818.5924387,0.054631710052490234,3,True
27,27,1712730818.6470704,0.21718430519104004,3,True
28,28,1712730818.7155328,0.14973902702331543,3,True
29,29,1712730818.7801018,0.08617186546325684,3,True
30,30,1712730818.8672693,0.05979657173156738,3,True
31,31,1712730818.889749,0.03983259201049805,3,True
32,32,1712730818.8953674,0.03421425819396973,3,True
33,33,1712730818.9295816,0.24150490760803223,3,True
34,34,1712730819.021369,0.1497175693511963,3,True
35,35,1712730819.072545,0.0985414981842041,3,True
36,36,1712730819.1710865,0.25130391120910645,3,True
37,37,1712730819.271402,0.1529843807220459,3,True
38,38,1712730819.337248,0.0881350040435791,3,True
39,39,1712730819.426383,0.17565584182739258,3,True
40,40,1712730819.5131526,0.08988595008850098,3,True
41,41,1712730819.5190322,0.08518862724304199,3,True
42,42,1712730819.6042209,0.21329832077026367,3,True
43,43,1712730819.6552527,0.16226649284362793,3,True
44,44,1712730819.7471933,0.07032585144042969,3,True
45,45,1712730819.8210785,0.398878812789917,6,True
46,46,1712730819.8286111,0.3934316635131836,6,True
47,47,1712730819.922034,0.3020448684692383,6,True
48,48,1712730819.9711158,0.25403428077697754,6,True
49,49,1712730820.0643609,0.16179704666137695,6,True
50,50,1712730820.1379356,0.08922338485717773,6,True
51,51,1712730820.2281563,0.17905211448669434,3,True
52,52,1712730820.290868,0.11634039878845215,3,True
53,53,1712730820.3485878,0.061647653579711914,3,True
54,54,1712730820.4102354,0.23120522499084473,3,True
55,55,1712730820.4813356,0.16010499000549316,3,True
56,56,1712730820.5606313,0.08180880546569824,3,True
57,57,1712730820.6434405,0.16396236419677734,3,True
58,58,1712730820.739146,0.06825685501098633,3,True
59,59,1712730820.8040023,0.004411220550537109,3,True
60,60,1712730820.809323,0.1426255702972412,3,True
61,61,1712730820.811321,0.1416163444519043,3,True
